catalog,group,name
1876,576,1000 заиров
1877,576,1000 заиров
1878,576,2 1/2 заира
1879,576,20 макута
1881,382,1 квача
1882,382,1 квача
1883,382,1 нгвей
1884,382,1 пенни
1885,382,10 квач
1886,382,10 квач
1887,382,10 квач
1889,382,10 квач
1890,382,5 квач
1891,382,5 квач
1892,382,25 нгвей
1893,382,1 шиллинг
1894,382,1 шиллинг
1895,382,10 нгвей
1902,382,1000 квач
1903,382,1000 квач
1907,382,20 нгвей
1908,382,20 нгвей
1910,382,250 квач
1913,382,4000 квач
1914,382,4000 квач
1915,382,4000 квач
1917,382,4000 квач
1918,382,5 нгвей
1919,382,5 шиллингов
1920,382,50 нгвей
1921,382,50 нгвей
1922,382,50 нгвей
1925,382,500 квач
1936,374,1 доллар
1937,491,1 цент
1938,491,5 долларов
1939,491,1 доллар
1940,491,10 центов
1941,491,2 доллара
1942,491,20 центов
1943,491,5 центов
1944,491,50 центов
1949,431,100 эскудо
1950,431,2 1/2 эскудо
1951,431,20 сентаво
1952,431,20 сентаво
1953,431,20 эскудо
1954,431,20 эскудо
1955,431,20 эскудо
1956,431,20 эскудо
1957,431,200 эскудо
1959,431,5 сентаво
1960,431,1 эскудо
1961,431,5 эскудо
1962,431,50 сентаво
1963,431,50 сентаво
1966,431,50 эскудо
1967,431,50 эскудо
1968,431,50 эскудо
1970,538,10 тенге
1971,538,100 тенге
1972,538,100 тенге
1973,538,100 тенге
1974,538,100 тенге
1975,538,100 тенге
1976,538,100 тенге
1981,538,20 тенге
1982,538,20 тенге
1983,538,20 тенге
1984,538,20 тенге
1985,538,20 тенге
1986,538,20 тенге
1988,538,5 тенге
1989,538,50 тенге
1990,538,50 тенге
1991,538,50 тенге
1992,538,50 тенге
1993,538,50 тенге
1996,538,500 тенге
2005,394,50 сантим
2006,394,10 франков
2007,394,2 франка
2009,394,100 франков
2010,394,25 франков
2011,394,50 франков
2012,394,500 франков
2016,715,1 франк
2017,715,5 франков
2023,361,5 центов
2024,361,5 центов
2025,361,10 центов
2026,361,10 центов
2027,361,1 шиллинг
2028,361,1 шиллинг
2030,361,10 шиллингов
2032,361,2 шиллинга
2033,361,5 шиллингов
2034,361,5 шиллингов
2035,361,5 шиллингов
2036,361,50 центов
2037,361,50 центов
2038,361,20 шиллингов
2039,361,40 шиллингов
2040,580,1 цент
2041,580,2 цента
2042,580,5 центов
2043,580,10 центов
2044,580,20 центов
2045,580,50 центов
2046,580,1 доллар
2051,407,1 рубль
2052,407,1 рубль
2053,580,5 долларов
2055,580,5 долларов
2057,371,1/2 соля
2058,580,5 долларов
2061,574,1 копейка
2062,580,5 долларов
2066,407,10 рублей
2067,580,20 долларов
2071,580,20 долларов
2072,407,10 рублей
2074,580,20 долларов
2078,535,1 динар
2080,580,20 долларов
2081,697,5 центов
2083,697,10 центов
2087,697,20 центов
2090,697,50 центов
2098,697,1 доллар
2108,697,2 доллара
2110,697,5 долларов
2121,545,10 сантим
2122,545,1 франк
2125,545,5 франков
2128,545,25 франков
2130,545,50 франков
2132,545,100 франков
2138,407,5 рублей
2141,407,20 рублей
2147,556,10 сентаво
2148,531,10 гривен
2149,531,10 гривен
2153,556,1 колон
2154,556,1 колон
2160,730,10 франков
2162,581,1 кип
2163,581,5 кип
2164,436,1 лоти
2168,436,2 малоти
2170,436,1 сенте
2171,436,10 лисенте
2173,531,2 гривны
2175,531,2 гривны
2176,531,2 гривны
2180,531,2 гривны
2181,531,2 гривны
2184,531,2 гривны
2185,436,10 лисенте
2186,436,10 лисенте
2187,531,2 гривны
2191,436,2 лисенте
2194,436,20 лисенте
2196,436,20 лисенте
2197,436,25 лисенте
2199,436,5 лисенте
2200,531,2 гривны
2201,531,2 гривны
2205,436,5 лисенте
2207,436,50 лисенте
2208,436,50 лисенте
2209,436,50 лисенте
2210,531,2 гривны
2212,531,2 гривны
2213,531,2 гривны
2217,531,2 гривны
2219,436,5 малоти
2224,436,15 малоти
2230,436,10 малоти
2232,436,10 малоти
2233,436,10 малоти
2234,436,10 малоти
2235,436,10 малоти
2237,360,1 квача
2238,531,2 гривны
2239,531,2 гривны
2240,360,1 квача
2241,360,1 квача
2242,531,2 гривны
2244,531,2 гривны
2245,360,1 тамбала
2246,531,2 гривны
2247,360,1 тамбала
2248,360,1 флорин
2250,360,1 шиллинг
2251,360,10 квач
2253,360,10 квач
2255,531,2 гривны
2257,360,10 квач
2263,531,2 гривны
2264,531,2 гривны
2267,360,10 квач
2269,360,10 квач
2270,531,2 гривны
2274,531,5 гривен
2275,531,5 гривен
2277,531,5 гривен
2278,531,5 гривен
2279,531,5 гривен
2280,531,5 гривен
2282,360,10 тамбала
2285,360,10 тамбала
2286,531,5 гривен
2287,531,5 гривен
2290,531,5 гривен
2295,531,5 гривен
2298,360,2 тамбала
2299,360,2 тамбала
2300,360,20 тамбала
2301,360,20 тамбала
2303,360,5 тамбала
2304,360,5 тамбала
2306,360,6 пенсов
2308,360,50 тамбала
2310,531,200000 карбованцев
2312,531,200000 карбованцев
2313,531,200000 карбованцев
2314,531,200000 карбованцев
2315,531,200000 карбованцев
2317,531,200000 карбованцев
2318,531,200000 карбованцев
2319,531,200000 карбованцев
2320,531,200000 карбованцев
2322,531,200000 карбованцев
2334,360,5 квач
2335,360,5 квач
2337,360,20 квач
2339,360,20 квач
2340,360,20 квач
2341,609,1 цент
2342,609,1 цент
2343,609,1/2 цента
2344,609,5 центов
2346,609,10 центов
2347,609,10 центов
2349,609,20 центов
2350,609,20 центов
2351,609,50 центов
2352,383,1 лари
2353,383,1 руфия
2354,383,10 лари
2355,383,10 лари
2356,383,10 руфий
2359,383,100 руфий
2361,383,100 руфий
2362,383,100 руфий
2363,383,100 руфий
2364,383,100 руфий
2365,383,2 руфии
2366,383,25 лари
2368,383,5 лари
2369,383,50 лари
2370,383,50 лари
2371,383,20 руфий
2373,383,20 руфий
2374,383,20 руфий
2377,383,250 руфий
2378,383,250 руфий
2379,383,250 руфий
2382,383,250 руфий
2383,383,250 руфий
2384,383,250 руфий
2386,568,1 гривенник
2388,568,1 деньга
2389,568,1 копейка
2390,568,1 копейка
2393,568,1 полтина
2394,568,1 полтина
2396,568,1 полушка
2397,568,1 полушка
2398,568,1 рубль
2399,568,1 рубль
2400,568,1 рубль
2401,568,10 копеек
2403,568,15 копеек
2405,568,2 копейки
2406,568,2 копейки
2407,568,2 пара - 3 копейки
2408,568,20 копеек
2409,568,20 копеек
2411,568,4 копейки
2412,568,5 копеек
2413,568,5 копеек
2414,568,5 копеек
2415,569,1 деньга
2416,569,1 копейка
2419,569,1 полушка
2420,569,1 рубль
2421,569,2 копейки
2422,570,1 деньга
2423,570,1 злотый
2424,570,1 копейка
2425,570,1 полтина
2426,570,1 рубль
2427,570,1 рубль
2428,570,10 копеек
2429,570,10 копеек
2431,570,2 копейки
2432,570,2 копейки
2434,570,2 копейки
2435,570,20 копеек
2437,570,5 копеек
2438,570,5 копеек
2440,571,1 денежка
